customer_id,age,gender,region,acquisition_channel,tenure_months,annual_income,monthly_spend,purchase_frequency,complaints_last_6m,support_tickets,discount_usage_ratio,satisfaction_score,churn,high_purchase_intent,segment
1,22,Female,East,Online,32,95988.79,1294.89,1,0,0,0.41,5.0,0,0,1
2,58,Female,South,Retail,2,74439.02,889.38,2,1,0,0.858,4.73,0,1,2
3,52,Male,North,Online,48,46508.1,326.59,2,0,3,0.998,3.86,0,1,3
4,40,Male,North,Online,33,34798.16,307.53,2,1,0,0.053,3.81,0,0,0
5,40,Female,East,Online,55,70203.08,538.26,2,0,1,0.062,4.91,0,0,3
6,62,Female,East,Retail,44,58994.36,621.65,5,0,3,0.054,3.79,0,0,1
7,22,Female,East,Partner,56,34279.11,441.73,3,0,1,0.462,5.0,0,0,3
8,54,Male,North,Retail,33,67714.55,533.71,3,0,1,0.785,4.64,0,1,2
9,28,Male,East,Retail,1,55157.51,717.43,4,0,1,0.094,4.33,0,1,2
10,22,Female,North,Retail,10,69551.97,578.47,3,0,0,0.689,4.66,0,1,2
11,45,Male,North,Retail,33,67951.32,831.61,3,0,4,0.171,5.0,0,0,1
12,68,Male,South,Online,29,49051.25,541.87,5,1,1,0.033,3.25,0,0,0
13,56,Female,East,Online,57,71391.21,693.84,0,1,2,0.596,4.5,0,1,3
14,57,Female,East,Retail,30,51037.71,252.77,1,0,1,0.594,5.0,0,1,3
15,55,Female,West,Retail,62,52208.13,628.34,6,0,0,0.283,4.64,0,1,1
16,58,Male,West,Online,14,50419.11,508.99,6,0,3,0.322,4.52,0,1,2
17,44,Male,South,Retail,28,80357.54,399.4,2,0,1,0.354,4.59,0,0,2
18,24,Female,West,Retail,54,59310.604999999996,702.47,0,0,1,0.929,4.79,0,1,3
19,61,Male,North,Online,9,84703.98,689.81,4,2,2,0.866,3.48,0,0,0
20,41,Male,West,Online,23,92102.73,634.57,4,0,0,0.528,4.69,0,1,2
21,44,Male,South,Online,54,46703.06,597.14,3,2,0,0.963,3.9,0,1,3
22,37,Female,West,Online,42,15000.0,184.81,3,1,1,0.582,4.56,0,1,3
